timestamp,emotion,meta
2025-11-20T12:32:24.306174Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.52
2025-11-20T12:32:25.302081Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.52
2025-11-20T12:32:26.306019Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.52
2025-11-20T12:32:27.309057Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.61
2025-11-20T12:32:28.309003Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.49
2025-11-20T12:32:29.307644Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.49
2025-11-20T12:32:30.311996Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.76
2025-11-20T12:32:31.312308Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.41
2025-11-20T12:32:32.312843Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.45
2025-11-20T12:32:33.315737Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.47
2025-11-20T12:32:34.298783Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.53
2025-11-20T12:32:35.300049Z,happy,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.48
2025-11-20T12:32:36.320194Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.31
2025-11-20T12:32:37.319984Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.43
2025-11-20T12:32:38.320716Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.46
2025-11-20T12:32:39.320087Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.49
2025-11-20T12:32:40.319545Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.55
2025-11-20T12:32:41.321480Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.48
2025-11-20T12:32:42.322118Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.46
2025-11-20T12:32:43.322903Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.44
2025-11-20T12:32:44.320615Z,angry,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.55
2025-11-20T12:32:45.324172Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.49
2025-11-20T12:32:46.326845Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.58
2025-11-20T12:32:47.326694Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.35
2025-11-20T12:32:48.320313Z,happy,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.32
2025-11-20T12:32:49.327453Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.48
2025-11-20T12:32:50.329964Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.69
2025-11-20T12:32:51.326695Z,happy,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.45
2025-11-20T12:32:52.325290Z,neutral,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.48
2025-11-20T12:32:53.321703Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.58
2025-11-20T12:32:54.322797Z,sad,source=webcam;session=7ac5ef8e-12d4-4baa-9573-e2bd5cddb1f4;confidence=0.53
2025-11-20T12:33:34.048938Z,angry,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.42
2025-11-20T12:33:35.048806Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.42
2025-11-20T12:33:36.049747Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.51
2025-11-20T12:33:37.052685Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.39
2025-11-20T12:33:38.046146Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.52
2025-11-20T12:33:39.040766Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.4
2025-11-20T12:33:40.053546Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.43
2025-11-20T12:33:41.048088Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.42
2025-11-20T12:33:42.047034Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.35
2025-11-20T12:33:43.046443Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.65
2025-11-20T12:33:44.048178Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.5
2025-11-20T12:33:45.032005Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.38
2025-11-20T12:33:45.483722Z,POSITIVE,source=text_review;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;score=0.9998161196708679
2025-11-20T12:33:46.047298Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.41
2025-11-20T12:33:47.047883Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.35
2025-11-20T12:33:47.962355Z,POSITIVE,source=text_review;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;score=0.9998161196708679
2025-11-20T12:33:48.039075Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.41
2025-11-20T12:33:49.043656Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.42
2025-11-20T12:33:50.036448Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.48
2025-11-20T12:33:51.035745Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.38
2025-11-20T12:33:52.052068Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.63
2025-11-20T12:33:53.042987Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.37
2025-11-20T12:33:54.049914Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.46
2025-11-20T12:33:55.047954Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.57
2025-11-20T12:33:56.049905Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.46
2025-11-20T12:33:57.050145Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.59
2025-11-20T12:33:58.047221Z,happy,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.32
2025-11-20T12:33:59.050560Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.4
2025-11-20T12:34:00.046097Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.42
2025-11-20T12:34:01.044059Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.38
2025-11-20T12:34:02.045172Z,angry,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.51
2025-11-20T12:34:03.046483Z,neutral,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.5
2025-11-20T12:34:04.044991Z,sad,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.54
2025-11-20T12:34:05.041011Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:06.045652Z,fear,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.36
2025-11-20T12:34:07.042622Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:08.045020Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:09.033805Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:10.037580Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:11.036061Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:12.039175Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:13.043535Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:14.044904Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:15.034045Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:16.047635Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:17.043665Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:18.044287Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:19.044441Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:19.880519Z,NEGATIVE,source=text_review;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;score=0.999782383441925
2025-11-20T12:34:20.035137Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:21.042056Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:22.045487Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:23.042215Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:24.048560Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:25.044210Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:26.044300Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:27.042913Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:28.047466Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:29.031691Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
2025-11-20T12:34:30.030447Z,happy,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0.36
2025-11-20T12:34:31.043994Z,none,source=webcam;session=d2a9be47-4a7f-4cdc-94ac-488d8db1a945;confidence=0
